ACCEPT_SESSION_ARBC,ACK_TAKEOVER_HRBC,APPLY_SUPERVISION_EVC,COORDINATE_MA_HRBC,DISPLAY_UPDATE_DMI,EMERGENCY_BRAKE_EVC,EVALUATE_FRONT_EVC,EVALUATE_REAR_EVC,EVALUATE_SESSION_REQ_ARBC,FORWARD_ANNOUNCEMENT_TO_ARBC_HRBC,PROCESS_COORDINATION_ARBC,PROCESS_MA_EVC,REJECT_SESSION_ARBC,REQ_SESSION_ARBC_RTM,RX_ARBC_GRANT_SUPERVISION_RTM,RX_HRBC_TERMINATION_ORDER_RTM,RX_HRBC_TRANSITION_ORDER_RTM,RX_POS_REPORT_ARBC,RX_POS_REPORT_HRBC,SESSION_ESTABLISHED_ARBC_RTM,SESSION_REJECTED_ARBC_RTM,TERMINATE_SESSION_HRBC_RTM,TX_GRANT_SUPERVISION_ARBC,TX_POS_REPORT_RTM,TX_TERMINATION_ORDER_HRBC,TX_TRANSITION_ORDER_HRBC,Fitness,Component
2,0,1,0,0,0,0,1,2,0,2,0,0,0,1,1,0,4,1,0,0,1,1,1,1,0,0.5476177437672767,ARBC
4,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,4,0,0,0,0,3,0,0,0,0.6938761349466633,ARBC
0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0.6666641975400092,ARBC
0,0,0,2,0,1,1,0,3,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0.5925903978133414,ARBC
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0.77999844000312,ARBC
1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0.772725516532917,ARBC
0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8461505917284934,ARBC
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.7777748971300107,ARBC
1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,3,0,0,0,0,5,0,0,0,0.7083318576419633,ARBC
3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0.7804859012538994,ARBC
